,line_text
651,problem jim people really suffering medical condition receive care need someone office coming ridiculous stuff read paper count choculitis
652,sound tough
653,write jim know love count chocula
654,
655,think need confess
656,mmm hmm
657,fact
658,yep
659,key
660,good luck close door lock
661,jim damnit jim let jim let without looking jim throw key left land shelf next stanley
662,look key continues talking phone light green green
663,answering phone jim halpert
664,let
665,
666,let fired
667,fire
668,yes manager day clean desk
669,ok hold getting ah beep press button phone jim halpert
670,phone hey jim pam
671,hey pam
672,jim open door
673,good busy
674,ok getting excited weekend though
675,jim
676,um bothering
677,
678,anything
679,nothing
680,jim
681,oh great um weekend nothing really anything
682,jim
683,oh yeah
684,might go mall
685,mall
686,jim
687,need new shoe
688,oh interesting kind shoe
689,hello
690,uh hello uh dwight schrute calling jan levenson gould
691,jan
692,hi dwight schrute calling acting manager scranton branch listen needed permission fire jim halpert
693,
694,dwight schrute
695,sale
696,well
697,michael scott
698,right put charge office
699,dwight listen carefully manager anything understand
700,entirely true put charge picking health care plan
701,really
702,yeah
703,ok michael get back tell call immediately
704,call immediately good oh hey listen um since phone um fire jim
705,please use cell phone ever
706,oh cell thought dial tone
707,hey hey everybody ice cream sandwich aaaahh laugh go take one take one good phyllis think fast ya bome oh oh see angela angela right waaaaah oh hey temp take two get health care uh faster metabolism
708,get kind cooky instead
709,eat ok go stanley manly
710,oh thanks
711,go
712,big surprise pretty horrible day
713,uh nope nope surprise surprising um expect know see
714,michael michael
715,breath oh christ
716,tried rational ok happened employee went crazy got help corporate leaf option
717,going read loud submitted medical condition hear read please raise hand indicate real raise hand covered
718,confidentiality
719,know forfeited privilege tried treat adult obviously adult number one inverted penis
720,could mean vagina want covered
721,thought vagina removed hysterectomy
722,uterus different vagina still vagina
723,ok great dermatitis thank angela make sure covered ok wrote hysterical one anal fissure
724,real thing
725,yeah one
726,someone
727,think go
728,know kevin important want spot michael blind
729,
730,know
731,well
732,well could referring anything
733,ok health care plan
734,put dwight charge horrible job
735,uh dwight raise benefit
736,certainly
737,oh come horrible aaah thanks dwight crappy plan ah damn oh mmm wish time change jan need five time time look watch ah five oh oh awful well ok see guy monday
738,surprise
739,oh yes exactly thank angela reminding terrific um tell everybody big surprise would like tell think big surprise
740,think surprise
741,right news big surprise go big surprise brrrrrrrr drum roll brrrrrrrr brrrrrrrr
742,backed corner come alive see learned improve great like um drew carey ryan stile
743,clapping hand god yeah ah
744,robin williams oh man would love go head head oh would exciting robin williams hi mork ork well bork spork nanoo nanoo jibelee baloobaloo
745,oh um jan want call
746,heated discussion dwight schrute workspace door open dismiss
747,well right ask question
748,came office voluntarily
749,want benefit slashed
750,well maybe get slashed answer question
751,reporting
752,know ever worker promoted peer always going little bit jealousy uh natural going lead goofing okay fine long willing suffer consequence
753,michael need talk
754,sorry busy even come door
755,open door michael
756,yeah hurry get chair
757,michael michael blind rustle inside
758,know um door going meeting pam headed another meeting see later uh go
759,stole dwight trashcan found early attempt sign
760,okay uh simple dwight workspace nice
761,mmm hmm
762,um one interesting power come font one schrute space medieval england um one forceful one dwight quiet dwight schrute working good
763,mmm hmm
764,really heard one interesting really sure meant um dwight schrute private tough say
765,yeah
766,okay know dwight got really serious disease like ebola
767,psssh
768,well could happen ever seen movie outbreak
769,yeah well ever seen movie unbreakable cause guy get sick like
770,okay ever seen movie sixth sense maybe already dead
771,unlikely
772,promise confidential
773,
774,mark
775,think
776,made p
777,wrong walk away thank jim kevin stanley whispering pam jim kevin stanley pam jim kevin stanley finished
778,oh yeah rest
779,unauthorized
780,well time call little favor buddy mine run tourist attraction actually big probably one popular state
781,cell phone hey hey craigers man michael scott silence dunder mifflin supply office paper
782,actually ask little favoroonie friend um deal um trying give troop little bit boost thinking maybe could bring go big ride
783,well say ft drop
784,free fall
785,uh okay um get mine like uh laser tag something
786,
787,uh small client really buy much
788,want health care pam hmm want
789,case get sick
790,go ahead use roy health care plan huh
791,married
792,engaged maybe set date wedding hmm know going get married take health care plan seriously
793,set date dwight laugh
794,really expect believe set date think sure pam sure know engaged three year know set date know else know got coverage roy know wrote fake disease admit admit pam
795,shut dwight
796,wrote give permission
797,talking anymore
798,dwight uh something confess
799,right thing go ahead confession
800,um
801,let
802,jackass
803,okay wanna hard way hard way wrote fake disease
804,hard way
805,know
806,well wasting everybody else time interrogating
807,well want know wrote disease
808,right
809,want take pen piece paper write write
810,okay
811,jim halpert
812,wait slow
813,confess health care fraud
814,one second cause sound really good jackass one word two dwight sigh one right cause cause show one
815,one word
816,really learned great great improvisers drew carey ryan stile uh brady guy much signing wayne brady um robin williams oh man would love go head head oh would exciting robin williams hi mork ork well bork spork nanoo nanoo jibelee baloobaloo robin williams good morning vietnam well hello know would god know sometimes watching somebody like um like jay leno half way step snap finger already laughing punch line even gotten even know fun know fun mind work like step ahead comedically ahead like going like watch v watching show think oh know someone gonna walk right say something funny um know like oh boy person deserved slammed going sort insult know like oh god butt fat knew know like knew going say knew gonna go go um know like uh know leno um letterman carson know need say
817,oh um jan want call
818,going bowling
819,michael
820,oh god dwight come
821,wanted talk downsizing
822,downsizing
823,protected assistant regional manager
824,assistant regional manager dwight
825,yeah worry
826,look look look talked corporate protecting sale staff said guarantee downsizing okay
827,downsizing
828,bottom line need worried
829,mmm mm mm maybe
830,look like gonna downsizing part job blah hate think main difference donald trump uh get pleasure saying word fired donald trump foir ed uh foir ed make people sad office function way way donald trump foir ed think catchphrase would hired work long want unrealistic
831,real shame cause study shown information get passed water cooler gossip official memo put disadvantage bring water work
832,
833,mean oh water cooler brought maintenance guy hear scuttlebutt
834,get set operation morale improvement starring michael scott think little stroke genius assistant pam smile pam go find whose birthday coming little celebration bad bad right birthday person drum roll please go birthday birthday person
835,birthday
836,um actually staff birthday coming
837,next person
838,oh
839,calendar
840,okay umm would meredith
841,yes right come meredith
842,next month
843,um uh ok well great well know surprise
844,still want party
845,yeah sure go ahead live little come pam come shake shake shake
846,grab cell phone desk brrrp uh spock sign life well let check captain eeee eeee eeee eeee captain sign life wet blanket named pam brr rrrp star trek
847,well uh decoration maybe could stupid forget
848,
849,going say maybe could streamer dumb everybody streamer never mind
850,yeah think good idea
851,yeah
852,color guy think
853,well green um blue yellow red
854,green
855,think green kind whoreish
856,tough suggested flip coin angela said like gamble course saying gambling smack
857,party planning beeyatches pulled amazing party last year hook
858,thinking already got cake um maybe going one ice cream cake baskin robbins good delicious
859,meredith allergic dairy
860,one going eating right think everybody like ice cream cake uh
861,birthday
862,mint chocolate chip good mint chocolate chip
863,hey listen thinking might good idea formed alliance cause downsizing think alliance might good idea know help
864,want form alliance
865,absolutely
866,good good excellent ok need figure vulnerable protected
867,moment happy mean everything dwight annoys
868,get ticket
869,
870,gun show roll sleeve kiss bicep
871,spend hour thinking way get back way could get arrested come say jim way
872,one thing important let keep alliance totally secret tell anyone
873,alliance
874,oh yeah
875,even mean
876,think something survivor sure
877,um know involves spying people may build fort underground
878,jim hey hi pam listen could talk second paper product
879,tell pam alliance
880,
881,
882,oh dwight using alliance know information office pam
883,right good good pursue
884,well trying see
885,mmm hmm
886,listen going talk lot right may chatting giggling gotta pretend ignore wipe away
887,done
888,right
